                            Stacked estimates with recovered model number and outcome label


  Obs  model             outcome                     Label  Estimate  StdErr  Probt
-----  -----  ------------------  ------------------------  --------  ------  -----
    1      1  UPDRS-III, 7 years  SPD SAA+ vs. - Slope          0.07    0.54    0.9
    2      1  UPDRS-III, 7 years  Overall SAA+ vs. - Slope      0.32    0.51   0.53
    3      3  UPDRS-I, 7 years    SPD SAA+ vs. - Slope          0.11     0.3   0.71
    4      3  UPDRS-I, 7 years    Overall SAA+ vs. - Slope      0.05    0.28   0.86
    5      5  MoCA, 7 years       SPD SAA+ vs. - Slope         -0.15    0.42   0.72
    6      5  MoCA, 7 years       Overall SAA+ vs. - Slope     -0.09    0.33   0.79
    7      7  DaTscan Caudate     SPD SAA+ vs. - Slope          0.02   0.011   0.07
    8      7  DaTscan Caudate     Overall SAA+ vs. - Slope     0.015   0.009    0.1

