Group,SAA_result,UPDRS1_slope_95CI,UPDRS1_p,MoCA_slope_95CI,MoCA_p,Caudate_slope_95CI,Caudate_p,Putamen_slope_95CI,Putamen_p
Sporadic,Negative,"0.54 (0.21, 0.87)",,"-0.34 (-0.66, -0.01)",,"-0.12 (-0.17, -0.07)",,"-0.05 (-0.08, -0.03)",
Sporadic,Positive,"0.54 (0.46, 0.61)",,"-0.18 (-0.25, -0.11)",,"-0.13 (-0.14, -0.11)",,"-0.06 (-0.07, -0.06)",
Sporadic,Positive vs negative,"0.00 (-0.34, 0.33)",0.99,"0.16 (-0.17, 0.48)",0.35,"-0.01 (-0.06, 0.04)",0.78,"-0.01 (-0.04, 0.01)",0.33
LRRK2,Negative,"0.27 (0.07, 0.48)",,"0.03 (-0.14, 0.19)",,"-0.11 (-0.14, -0.08)",,"-0.06 (-0.08, -0.05)",
LRRK2,Positive,"0.36 (0.23, 0.49)",,"-0.05 (-0.16, 0.05)",,"-0.13 (-0.15, -0.11)",,"-0.07 (-0.08, -0.06)",
LRRK2,Positive vs negative,"0.08 (-0.15, 0.31)",0.48,"-0.08 (-0.27, 0.10)",0.37,"-0.02 (-0.06, 0.02)",0.27,"-0.01 (-0.03, 0.01)",0.57
GBA,Negative,"0.19 (-0.34, 0.72)",,"-0.19 (-0.71, 0.32)",,"-0.11 (-0.23, 0.01)",,"-0.06 (-0.10, -0.02)",
GBA,Positive,"0.51 (0.36, 0.66)",,"-0.28 (-0.43, -0.13)",,"-0.14 (-0.18, -0.11)",,"-0.07 (-0.08, -0.06)",
GBA,Positive vs negative,"0.32 (-0.23, 0.87)",0.25,"-0.09 (-0.62, 0.45)",0.75,"-0.03 (-0.16, 0.09)",0.62,"-0.01 (-0.05, 0.03)",0.66
Overall,SAA pos vs neg,"0.13 (-0.09, 0.36)",0.25,"0 (-0.22, 0.22)",0.99,"-0.02 (-0.07, 0.03)",0.39,"-0.01 (-0.03, 0.01)",0.30
GBA vs Sporadic,Negative,"-0.35 (-0.97, 0.27)",0.26,"0.14 (-0.46, 0.74)",0.64,"0.01 (-0.12, 0.14)",0.90,"-0.01 (-0.05, 0.04)",0.76
GBA vs Sporadic,Positive,"-0.03 (-0.19, 0.14)",0.74,"-0.10 (-0.26, 0.06)",0.22,"-0.02 (-0.05, 0.02)",0.36,"0 (-0.02, 0.01)",0.53
LRRK2 vs Sporadic,Negative,"-0.27 (-0.65, 0.12)",0.18,"0.36 (0.01, 0.72)",0.047,"0.01 (-0.05, 0.07)",0.77,"-0.01 (-0.04, 0.02)",0.45
LRRK2 vs Sporadic,Positive,"-0.18 (-0.33, -0.03)",0.022,"0.13 (0, 0.25)",0.05,"-0.01 (-0.03, 0.02)",0.70,"-0.01 (-0.02, 0.01)",0.47
