Group,Quartile,UPDRS3_slope_95CI,UPDRS3_p,UPDRS1_slope_95CI,UPDRS1_p,MoCA_slope_95CI,MoCA_p,Caudate_slope_95CI,Caudate_p,Putamen_slope_95CI,Putamen_p
Sporadic,Q0,"2.13 (1.69, 2.57)",,"0.54 (0.42, 0.67)",,"-0.24 (-0.35, -0.13)",,"-0.13 (-0.15, -0.11)",,"-0.06 (-0.07, -0.05)",
Sporadic,Q1,"2.32 (1.88, 2.77)",,"0.56 (0.44, 0.69)",,"-0.20 (-0.31, -0.09)",,"-0.12 (-0.14, -0.10)",,"-0.06 (-0.07, -0.05)",
Sporadic,Q1 vs Q0,"0.19 (-0.41, 0.78)",0.53,"0.02 (-0.15, 0.19)",0.83,"0.04 (-0.11, 0.19)",0.58,"0.01 (-0.02, 0.04)",0.54,"0.00 (-0.01, 0.01)",0.96
Sporadic,Q2,"2.66 (2.21, 3.12)",,"0.45 (0.32, 0.58)",,"-0.18 (-0.29, -0.07)",,"-0.11 (-0.13, -0.09)",,"-0.07 (-0.08, -0.06)",
Sporadic,Q2 vs Q0,"0.53 (-0.08, 1.14)",0.09,"-0.09 (-0.27, 0.08)",0.29,"0.07 (-0.09, 0.22)",0.41,"0.02 (-0.01, 0.05)",0.17,"-0.01 (-0.02, 0.01)",0.40
Sporadic,Q3,"2.89 (1.91, 3.87)",,"0.61 (0.31, 0.91)",,"-0.35 (-0.62, -0.08)",,"-0.14 (-0.19, -0.09)",,"-0.05 (-0.08, -0.03)",
Sporadic,Q3 vs Q0,"0.76 (-0.30, 1.82)",0.16,"0.07 (-0.26, 0.39)",0.69,"-0.10 (-0.39, 0.19)",0.49,"-0.01 (-0.06, 0.04)",0.77,"0.01 (-0.02, 0.03)",0.64
LRRK2,Q0,"2.74 (1.74, 3.74)",,"0.45 (0.17, 0.72)",,"0.00 (-0.21, 0.21)",,"-0.17 (-0.21, -0.12)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q1,"2.71 (1.79, 3.64)",,"0.37 (0.10, 0.63)",,"-0.19 (-0.39, 0.00)",,"-0.12 (-0.16, -0.08)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q1 vs Q0,"-0.03 (-1.32, 1.27)",0.97,"-0.08 (-0.45, 0.29)",0.68,"-0.19 (-0.47, 0.09)",0.18,"0.05 (-0.01, 0.11)",0.12,"0.00 (-0.03, 0.03)",0.79
LRRK2,Q2,"2.04 (1.21, 2.88)",,"0.32 (0.10, 0.63)",,"-0.09 (-0.26, 0.07)",,"-0.12 (-0.16, -0.08)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q2 vs Q0,"-0.69 (-1.95, 0.56)",0.27,"-0.13 (-0.47, 0.22)",0.47,"-0.09 (-0.36, 0.17)",0.48,"0.05 (-0.01, 0.11)",0.09,"0.01 (-0.02, 0.04)",0.64
LRRK2,Q3,"2.45 (1.48, 3.42)",,"0.32 (0.07, 0.57)",,"-0.09 (-0.29, 0.10)",,"-0.14 (-0.19, -0.09)",,"-0.08 (-0.09, -0.05)",
LRRK2,Q3 vs Q0,"-0.29 (-1.63, 1.06)",0.67,"-0.13 (-0.49, 0.24)",0.49,"-0.09 (-0.38, 0.19)",0.50,"0.03 (-0.04, 0.09)",0.39,"0.00 (-0.03, 0.03)",0.91
GBA,Q0,"2.96 (1.64, 4.29)",,"0.48 (0.21, 0.75)",,"-0.31 (-0.54, -0.09)",,"-0.19 (-0.25, -0.15)",,"-0.08 (-0.09, -0.07)",
GBA,Q1,"2.01 (0.67, 3.34)",,"0.62 (0.36, 0.88)",,"-0.25 (-0.47, -0.04)",,"-0.12 (-0.17, -0.07)",,"-0.07 (-0.09, -0.05)",
GBA,Q1 vs Q0,"-0.96 (-2.81, 0.90)",0.30,"0.14 (-0.23, 0.51)",0.44,"0.06 (-0.25, 0.37)",0.69,"0.07 (0.00, 0.15)",0.04,"0.01 (-0.01, 0.04)",0.31
GBA,Q2,"2.84 (1.26, 4.42)",,"0.39 (0.08, 0.71)",,"-0.24 (-0.51, 0.03)",,"-0.12 (-0.19, -0.06)",,"-0.06 (-0.09, -0.04)",
GBA,Q2 vs Q0,"-0.12 (-2.16, 1.91)",0.90,"-0.09 (-0.49, 0.32)",0.68,"0.07 (-0.27, 0.42)",0.68,"0.07 (-0.01, 0.16)",0.09,"0.02 (-0.01, 0.05)",0.16
GBA,Q3,"2.98 (0.02, 5.93)",,"0.21 (-0.39, 0.80)",,"-0.09 (-0.59, 0.41)",,"-0.15 (-0.28, -0.02)",,"-0.10 (-0.15, -0.05)",
GBA,Q3 vs Q0,"0.01 (-3.22, 3.25)",0.99,"-0.27 (-0.93, 0.38)",0.40,"0.22 (-0.32, 0.77)",0.41,"0.05 (-0.09, 0.19)",0.50,"-0.02 (-0.07, 0.03)",0.45
