Group,Quartile,UPDRS3_slope_95CI,UPDRS3_p,UPDRS1_slope_95CI,UPDRS1_p,MoCA_slope_95CI,MoCA_p,Caudate_slope_95CI,Caudate_p,Putamen_slope_95CI,Putamen_p
Sporadic,Q0,"2.43 (1.95, 2.91)",,"0.41 (0.28, 0.55)",,"-0.16 (-0.28, -0.05)",,"-0.11 (-0.13, -0.09)",,"-0.06 (-0.08, -0.05)",
Sporadic,Q1,"2.36 (1.92, 2.79)",,"0.55 (0.43, 0.67)",,"-0.16 (-0.26, -0.06)",,"-0.12 (-0.14, -0.10)",,"-0.06 (-0.07, -0.05)",
Sporadic,Q1 vs Q0,"-0.07 (-0.69, 0.55)",0.82,"0.13 (-0.04, 0.31)",0.14,"0.00 (-0.15, 0.15)",0.97,"-0.01 (-0.04, 0.02)",0.55,"0.01 (-0.01, 0.02)",0.49
Sporadic,Q2,"2.34 (1.90, 2.78)",,"0.58 (0.45, 0.70)",,"-0.29 (-0.41, -0.19)",,"-0.14 (-0.16, -0.12)",,"-0.07 (-0.08, -0.05)",
Sporadic,Q2 vs Q0,"-0.09 (-0.72, 0.54)",0.78,"0.16 (-0.02, 0.35)",0.08,"-0.13 (-0.29, 0.02)",0.09,"-0.03 (-0.06, 0.00)",0.05,"0.00 (-0.02, 0.02)",0.95
Sporadic,Q3,"2.90 (1.91, 3.89)",,"0.62 (0.32, 0.92)",,"-0.34 (-0.61, -0.07)",,"-0.14 (-0.19, -0.09)",,"-0.06 (-0.08, -0.03)",
Sporadic,Q3 vs Q0,"0.47 (-0.61, 1.56)",0.39,"0.21 (-0.12, 0.54)",0.22,"-0.18 (-0.47, 0.11)",0.23,"-0.03 (-0.08, 0.02)",0.24,"0.01 (-0.02, 0.04)",0.46
LRRK2,Q0,"2.15 (1.33, 2.96)",,"0.30 (0.09, 0.51)",,"-0.09 (-0.25, 0.07)",,"-0.12 (-0.16, -0.08)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q1,"2.44 (1.48, 3.39)",,"0.33 (0.05, 0.60)",,"-0.14 (-0.35, 0.07)",,"-0.13 (-0.17, -0.08)",,"-0.07 (-0.09, -0.04)",
LRRK2,Q1 vs Q0,"0.29 (-0.92, 1.51)",0.63,"0.02 (-0.32, 0.36)",0.89,"-0.05 (-0.31, 0.21)",0.71,"-0.01 (-0.06, 0.05)",0.82,"0.00 (-0.03, 0.03)",0.90
LRRK2,Q2,"3.01 (2.01, 4.01)",,"0.53 (0.26, 0.81)",,"-0.09 (-0.30, 0.12)",,"-0.16 (-0.21, -0.11)",,"-0.08 (-0.09, -0.05)",
LRRK2,Q2 vs Q0,"0.86 (-0.39, 2.11)",0.17,"0.23 (-0.10, 0.56)",0.17,"0.00 (-0.26, 0.26)",0.99,"-0.04 (-0.09, 0.02)",0.17,"-0.01 (-0.04, 0.02)",0.67
LRRK2,Q3,"2.46 (1.49, 3.44)",,"0.33 (0.08, 0.58)",,"-0.10 (-0.30, 0.10)",,"-0.14 (-0.19, -0.09)",,"-0.08 (-0.09, -0.05)",
LRRK2,Q3 vs Q0,"0.32 (-0.91, 1.55)",0.61,"0.03 (-0.29, 0.34)",0.87,"-0.01 (-0.26, 0.24)",0.94,"-0.02 (-0.08, 0.03)",0.41,"-0.01 (-0.04, 0.02)",0.61
GBA,Q0,"2.42 (0.86, 3.99)",,"0.45 (0.16, 0.74)",,"-0.31 (-0.56, -0.07)",,"-0.12 (-0.19, -0.06)",,"-0.06 (-0.09, -0.04)",
GBA,Q1,"2.21 (0.86, 3.57)",,"0.56 (0.28, 0.84)",,"-0.21 (-0.44, 0.02)",,"-0.12 (-0.17, -0.06)",,"-0.07 (-0.09, -0.05)",
GBA,Q1 vs Q0,"-0.21 (-2.26, 1.84)",0.84,"0.11 (-0.29, 0.51)",0.58,"0.10 (-0.23, 0.43)",0.54,"0.01 (-0.07, 0.09)",0.82,"-0.01 (-0.04, 0.02)",0.53
GBA,Q2,"3.07 (1.73, 4.40)",,"0.53 (0.26, 0.80)",,"-0.32 (-0.55, -0.09)",,"-0.20 (-0.25, -0.15)",,"-0.08 (-0.09, -0.06)",
GBA,Q2 vs Q0,"0.64 (-1.39, 2.67)",0.53,"0.08 (-0.31, 0.47)",0.67,"-0.01 (-0.34, 0.33)",0.98,"-0.08 (-0.16, 0.00)",0.06,"-0.02 (-0.04, 0.01)",0.22
GBA,Q3,"2.96 (-0.03, 5.94)",,"0.20 (-0.39, 0.81)",,"-0.09 (-0.59, 0.42)",,"-0.15 (-0.28, -0.02)",,"-0.10 (-0.15, -0.05)",
GBA,Q3 vs Q0,"0.53 (-2.84, 3.91)",0.75,"-0.24 (-0.91, 0.42)",0.47,"0.23 (-0.34, 0.79)",0.42,"-0.03 (-0.17, 0.12)",0.71,"-0.04 (-0.09, 0.02)",0.15
