Group,Quartile,UPDRS3_slope_95CI,UPDRS3_p,UPDRS1_slope_95CI,UPDRS1_p,MoCA_slope_95CI,MoCA_p,Caudate_slope_95CI,Caudate_p,Putamen_slope_95CI,Putamen_p
Sporadic,Q0,"2.65 (2.20, 3.09)",,"0.59 (0.46, 0.71)",,"-0.21 (-0.32, -0.10)",,"-0.13 (-0.15, -0.11)",,"-0.07 (-0.08, -0.06)",
Sporadic,Q1,"2.21 (1.76, 2.66)",,"0.42 (0.29, 0.54)",,"-0.19 (-0.31, -0.09)",,"-0.11 (-0.13, -0.09)",,"-0.06 (-0.07, -0.05)",
Sporadic,Q1 vs Q0,"-0.44 (-1.04, 0.17)",0.16,"-0.17 (-0.35, 0.00)",0.06,"0.02 (-0.14, 0.17)",0.85,"0.02 (-0.01, 0.05)",0.18,"0.01 (-0.01, 0.02)",0.25
Sporadic,Q2,"2.26 (1.82, 2.69)",,"0.55 (0.43, 0.68)",,"-0.21 (-0.32, -0.10)",,"-0.13 (-0.15, -0.11)",,"-0.06 (-0.07, -0.05)",
Sporadic,Q2 vs Q0,"-0.39 (-0.99, 0.21)",0.20,"-0.04 (-0.21, 0.14)",0.68,"0.00 (-0.15, 0.16)",0.96,"0.00 (-0.03, 0.02)",0.76,"0.00 (-0.01, 0.02)",0.64
Sporadic,Q3,"2.89 (1.91, 3.88)",,"0.61 (0.31, 0.91)",,"-0.34 (-0.61, -0.07)",,"-0.14 (-0.19, -0.09)",,"-0.05 (-0.08, -0.03)",
Sporadic,Q3 vs Q0,"0.25 (-0.82, 1.31)",0.65,"0.03 (-0.29, 0.35)",0.88,"-0.13 (-0.42, 0.16)",0.38,"-0.01 (-0.06, 0.04)",0.64,"0.01 (-0.01, 0.04)",0.35
LRRK2,Q0,"2.44 (1.48, 3.39)",,"0.27 (0.03, 0.51)",,"-0.04 (-0.23, 0.14)",,"-0.13 (-0.17, -0.09)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q1,"2.29 (1.38, 3.19)",,"0.41 (0.16, 0.65)",,"-0.15 (-0.34, 0.04)",,"-0.12 (-0.16, -0.07)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q1 vs Q0,"-0.15 (-1.43, 1.13)",0.82,"0.14 (-0.19, 0.47)",0.41,"-0.11 (-0.37, 0.15)",0.39,"0.01 (-0.05, 0.07)",0.68,"0.00 (-0.03, 0.03)",0.83
LRRK2,Q2,"2.53 (1.59, 3.47)",,"0.46 (0.19, 0.72)",,"-0.12 (-0.32, 0.08)",,"-0.15 (-0.19, -0.10)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q2 vs Q0,"0.09 (-1.23, 1.41)",0.89,"0.19 (-0.17, 0.54)",0.29,"-0.08 (-0.34, 0.19)",0.57,"-0.02 (-0.07, 0.04)",0.61,"0.00 (-0.03, 0.03)",0.79
LRRK2,Q3,"2.43 (1.44, 3.42)",,"0.33 (0.08, 0.58)",,"-0.10 (-0.30, 0.09)",,"-0.14 (-0.19, -0.09)",,"-0.07 (-0.09, -0.05)",
LRRK2,Q3 vs Q0,"-0.01 (-1.35, 1.34)",0.99,"0.06 (-0.28, 0.39)",0.74,"-0.06 (-0.33, 0.21)",0.65,"-0.01 (-0.07, 0.05)",0.71,"-0.01 (-0.04, 0.03)",0.72
GBA,Q0,"1.40 (-0.04, 2.84)",,"0.52 (0.21, 0.82)",,"-0.19 (-0.44, 0.05)",,"-0.11 (-0.17, -0.05)",,"-0.06 (-0.08, -0.04)",
GBA,Q1,"3.56 (2.19, 4.93)",,"0.55 (0.27, 0.83)",,"-0.46 (-0.70, -0.21)",,"-0.19 (-0.26, -0.13)",,"-0.08 (-0.09, -0.05)",
GBA,Q1 vs Q0,"2.16 (0.20, 4.12)",0.03,"0.03 (-0.38, 0.44)",0.87,"-0.26 (-0.61, 0.08)",0.13,"-0.08 (-0.17, 0.01)",0.07,"-0.01 (-0.04, 0.01)",0.35
GBA,Q2,"2.59 (1.39, 3.78)",,"0.48 (0.21, 0.74)",,"-0.22 (-0.43, -0.01)",,"-0.16 (-0.21, -0.11)",,"-0.08 (-0.09, -0.06)",
GBA,Q2 vs Q0,"1.18 (-0.67, 3.04)",0.20,"-0.04 (-0.44, 0.36)",0.84,"-0.02 (-0.35, 0.29)",0.88,"-0.05 (-0.13, 0.03)",0.19,"-0.02 (-0.04, 0.01)",0.17
GBA,Q3,"2.95 (0.18, 5.72)",,"0.20 (-0.40, 0.81)",,"-0.09 (-0.58, 0.41)",,"-0.15 (-0.29, -0.01)",,"-0.10 (-0.15, -0.05)",
GBA,Q3 vs Q0,"1.55 (-1.58, 4.67)",0.32,"-0.31 (-0.99, 0.36)",0.46,"0.11 (-0.45, 0.66)",0.70,"-0.04 (-0.19, 0.11)",0.58,"-0.04 (-0.09, 0.01)",0.14
