Characteristic,SPD_SAA_pos,SPD_SAA_neg,LRRK2_SAA_pos,LRRK2_SAA_neg,GBA_SAA_pos,GBA_SAA_neg
N,315,17,111,51,66,4
"Age at baseline, years, mean (SD)",61.8 (9.8),67.2 (11.0),59.6 (9.0),68.1 (6.9),61.4 (9.0),66.3 (10.3)
"Years since diagnosis, median (IQR)","0.33 (0.17, 0.75)","0.58 (0.42, 1.08)","1.92 (0.79, 3.87)","2.42 (1.17, 5.12)","1.17 (0.50, 3.67)","0.96 (0.52, 1.42)"
"Age at disease onset, years, mean (SD)",61.1 (9.78),66.4 (10.9),57.2 (9.2),65.1 (7.39),59.2 (9.22),65.3 (10.1)
Male sex (%),208 (66.0),11 (64.7),63 (56.8),20 (39.2),40 (60.6),3 (75.0)
White (%),283 (89.8),17 (100),100 (90.1),43 (84.3),63 (95.5),4 (100)
Asian (%),8 (2.5),0,0,0,0,0
Black (%),7 (2.2),0,0,0,0,0
Multiracial (%),10 (3.2),0,7 (6.3),8 (15.7),2 (3.0),0
Other race (%),5 (1.6),0,3 (2.7),0,1 (1.5),0
Not reported race (%),2 (0.6),0,1 (0.9),0,0,0
Hispanic or Latino (%),7 (2.2),0,19 (17.1),16 (31.4),2 (3.0),0
Education <12 years (%),20 (6.3),0,10 (9.0),15 (29.4),4 (6.1),0
Education 12-16 years (%),191 (60.6),9 (52.9),50 (45.0),21 (41.2),30 (45.5),2 (50.0)
Education >16 years (%),104 (33.0),8 (47.1),51 (45.9),15 (29.4),32 (48.5),2 (50.0)
Parent with PD (%),37 (11.7),0,34 (30.6),23 (45.1),12 (18.2),1 (25.0)
Other relative with PD (%),55 (17.5),0,37 (33.3),25 (49.0),13 (19.7),0
"Time to dopaminergic medication, median (IQR)","1.58 (0.94, 2.58)","1.58 (0.92, 2.17)",NA,NA,NA,NA
"MDS-UPDRS III at baseline, mean (SD)",20.1 (8.9),19.1 (5.3),20.1 (10.1),17.5 (7.9),25.2 (11.3),20.0 (13.0)
"MDS-UPDRS I at baseline, mean (SD)",4.25 (3.06),6.29 (5.17),5.62 (4.05),6.12 (5.02),5.68 (3.90),2.75 (2.75)
"MoCA at baseline, mean (SD)",27.2 (2.3),26.8 (2.1),26.6 (2.8),25.1 (3.1),26.4 (2.7),26.2 (2.6)
"DAT-SPECT caudate SBR, median (IQR)","1.94 (1.67, 2.33)","1.77 (1.51, 2.40)","1.91 (1.53, 2.29)","1.91 (1.50, 2.22)","1.81 (1.31, 2.26)","1.42 (1.22, 1.79)"
"DAT-SPECT putamen SBR, median (IQR)","0.79 (0.65, 0.96)","0.78 (0.55, 1.31)","0.73 (0.58, 0.90)","0.82 (0.59, 1.04)","0.69 (0.56, 0.88)","0.46 (0.35, 1.03)"
