Group,SAA_result,Slope_95CI,P_value
Sporadic,Negative,"2.39 (1.36, 3.42)",
Sporadic,Positive,"2.46 (2.20, 2.72)",
Sporadic,Positive vs negative,"0.07 (-0.99, 1.12)",0.90
LRRK2,Negative,"1.76 (0.93, 2.60)",
LRRK2,Positive,"2.39 (1.86, 2.92)",
LRRK2,Positive vs negative,"0.63 (-0.29, 1.55)",0.18
GBA,Negative,"2.40 (-0.18, 4.99)",
GBA,Positive,"2.67 (1.91, 3.44)",
GBA,Positive vs negative,"0.27 (-2.42, 2.96)",0.84
Overall,SAA positive vs negative,"0.32 (-0.68, 1.33)",0.53
GBA vs Sporadic,Negative,"0.01 (-2.75, 2.78)",0.99
GBA vs Sporadic,Positive,"0.22 (-0.58, 1.02)",0.59
LRRK2 vs Sporadic,Negative,"-0.63 (-1.96, 0.70)",0.35
LRRK2 vs Sporadic,Positive,"-0.07 (-0.66, 0.53)",0.82
